iter	Passed	Remaining
0	1	1480
1	3	1782
2	5	1741
3	10	2626
4	11	2374
5	13	2193
6	14	2074
7	15	1979
8	17	1919
9	19	1944
10	21	1903
11	22	1859
12	24	1860
13	26	1847
14	27	1823
15	29	1789
16	30	1763
17	32	1756
18	33	1735
19	34	1714
20	36	1688
21	36	1636
22	38	1645
23	40	1630
24	41	1617
25	43	1640
26	46	1662
27	47	1660
28	50	1680
29	51	1678
30	53	1684
31	55	1674
32	58	1704
33	59	1695
34	61	1685
35	63	1710
36	65	1711
37	67	1699
38	68	1692
39	70	1685
40	72	1705
41	74	1701
42	75	1687
43	77	1680
44	78	1676
45	81	1682
46	82	1678
47	84	1674
48	85	1663
49	87	1657
50	89	1671
51	91	1662
52	92	1653
53	95	1671
54	98	1691
55	100	1697
56	102	1693
57	103	1684
58	105	1682
59	107	1676
60	108	1670
61	110	1667
62	111	1665
63	113	1657
64	115	1655
65	116	1650
66	118	1647
67	121	1668
68	123	1662
69	124	1656
70	125	1643
71	126	1636
72	128	1635
73	130	1629
74	131	1622
75	133	1617
76	134	1611
77	136	1608
78	140	1636
79	142	1634
80	144	1634
81	145	1631
82	147	1632
83	149	1626
84	150	1624
85	151	1610
86	152	1604
87	154	1598
88	155	1591
89	156	1584
90	157	1577
91	159	1572
92	160	1565
93	161	1561
94	163	1561
95	165	1556
96	166	1551
97	169	1563
98	171	1558
99	180	1625
100	182	1621
101	183	1617
102	185	1613
103	186	1609
104	188	1603
105	190	1606
106	192	1602
107	193	1597
108	194	1590
109	196	1587
110	198	1588
111	199	1583
112	201	1578
113	202	1572
114	203	1567
115	205	1562
116	206	1558
117	208	1555
118	209	1553
119	212	1559
120	214	1554
121	215	1550
122	216	1546
123	218	1546
124	220	1542
125	221	1537
126	222	1531
127	224	1531
128	226	1527
129	227	1523
130	229	1520
131	231	1520
132	232	1515
133	233	1511
134	235	1510
135	237	1506
136	238	1502
137	240	1503
138	242	1500
139	243	1496
140	245	1494
141	246	1490
142	248	1486
143	249	1484
144	251	1481
145	252	1476
146	254	1473
147	255	1471
148	257	1467
149	258	1465
150	260	1462
151	261	1459
152	263	1456
153	264	1455
154	266	1451
155	267	1449
156	269	1445
157	270	1442
158	272	1438
159	273	1435
160	274	1430
161	275	1427
162	277	1425
163	278	1422
164	279	1416
165	281	1412
166	282	1409
167	285	1412
168	286	1410
169	288	1409
170	290	1409
171	292	1407
172	294	1405
173	296	1405
174	298	1407
175	299	1404
176	301	1400
177	302	1398
178	303	1392
179	304	1389
180	306	1389
181	308	1386
182	309	1383
183	311	1381
184	312	1378
185	314	1375
186	315	1372
187	318	1374
188	320	1374
189	321	1371
190	323	1368
191	324	1367
192	326	1365
193	327	1361
194	329	1358
195	330	1355
196	331	1352
197	333	1352
198	335	1350
199	336	1347
200	338	1343
201	339	1342
202	341	1340
203	342	1337
204	344	1336
205	346	1333
206	347	1330
207	348	1328
208	350	1325
209	351	1322
210	353	1320
211	354	1318
212	356	1316
213	358	1315
214	359	1312
215	361	1313
216	363	1312
217	365	1310
218	367	1310
219	368	1307
220	370	1305
221	371	1303
222	373	1300
223	374	1297
224	376	1296
225	377	1293
226	379	1291
227	380	1288
228	381	1285
229	383	1282
230	384	1279
231	386	1278
232	387	1276
233	389	1274
234	390	1271
235	392	1269
236	393	1266
237	395	1265
238	396	1263
239	398	1261
240	400	1260
241	401	1258
242	402	1255
243	404	1252
244	405	1249
245	407	1247
246	408	1245
247	409	1242
248	411	1240
249	413	1239
250	415	1238
251	416	1236
252	418	1234
253	419	1231
254	420	1228
255	422	1226
256	423	1225
257	425	1223
258	427	1222
259	429	1221
260	431	1222
261	432	1219
262	434	1217
263	435	1215
264	437	1212
265	438	1210
266	439	1207
267	441	1206
268	442	1203
269	444	1201
270	447	1202
271	448	1200
272	450	1200
273	452	1199
274	454	1197
275	455	1194
276	457	1193
277	458	1191
278	461	1191
279	462	1188
280	463	1186
281	465	1184
282	467	1183
283	468	1180
284	469	1178
285	471	1176
286	472	1174
287	474	1172
288	475	1170
289	476	1167
290	478	1165
291	480	1164
292	482	1163
293	483	1160
294	484	1158
295	486	1156
296	488	1155
297	489	1153
298	491	1151
299	492	1149
300	493	1146
301	495	1146
302	497	1143
303	498	1141
304	500	1140
305	503	1142
306	505	1140
307	506	1138
308	508	1137
309	510	1135
310	512	1134
311	513	1132
312	515	1130
313	516	1128
314	517	1126
315	519	1123
316	520	1122
317	522	1120
318	523	1118
319	525	1116
320	526	1114
321	528	1113
322	530	1112
323	532	1110
324	534	1109
325	535	1107
326	537	1105
327	538	1103
328	540	1101
329	541	1099
330	543	1097
331	543	1094
332	547	1095
333	548	1093
334	550	1092
335	551	1089
336	552	1087
337	554	1085
338	555	1083
339	556	1080
340	558	1078
341	559	1077
342	561	1074
343	562	1072
344	564	1070
345	565	1068
346	566	1066
347	568	1064
348	569	1062
349	571	1060
350	572	1059
351	573	1056
352	575	1054
353	576	1052
354	577	1050
355	579	1047
356	581	1047
357	583	1046
358	586	1046
359	588	1045
360	589	1044
361	592	1043
362	594	1042
363	596	1042
364	598	1040
365	599	1038
366	600	1035
367	601	1033
368	604	1033
369	606	1033
370	608	1032
371	610	1030
372	612	1029
373	614	1027
374	615	1025
375	616	1023
376	618	1021
377	620	1020
378	621	1019
379	624	1018
380	625	1017
381	628	1016
382	629	1014
383	631	1013
384	633	1012
385	635	1010
386	637	1009
387	638	1007
388	640	1005
389	641	1003
390	643	1002
391	644	999
392	645	997
393	647	995
394	648	993
395	650	991
396	651	989
397	653	988
398	654	986
399	656	984
400	657	982
401	658	980
402	660	978
403	661	976
404	663	975
405	665	973
406	666	971
407	668	969
408	670	968
409	672	967
410	673	965
411	674	963
412	676	961
413	679	961
414	680	959
415	682	958
416	685	957
417	686	955
